"","siteid","lat","long","ecoreg","era","area","lev_doc","lev_no3","lev_tn","lev_tp","temp","precip","elev","forest","wetland","urban","ag","roads"
"20","FW08AL026",31.19892816,-87.90346053,"8","Year2008",58620.10156,-0.307504957077839,-1.83417662633488,-1.42735671555084,-1.35917863530848,18.7,1575,197.802,58.616,5.174,8.378,14.678,"1.635"
"21","FW08AL027",32.12422057,-87.52831805,"8","Year2008",2.906100035,0,-9.08522956411972e-05,-7.40459444200892e-05,-3.70281237221916e-05,17.8,1420,58.21,66.987,10.561,2.818,0.062,"0.537"
"22","FW08AL028",34.90862922,-87.06229652,"8","Year2008",4960.100098,-0.106526170223926,-0.0143408136780462,-0.0299970032133225,-0.0418097520639641,15.1,1422,290.872,45.083,0.945,6.432,41.713,"1.616"
"23","FW08AL029",33.62400503,-85.49383877,"8","Year2008",1145.800049,-0.0214258516647831,-0.0312060536949383,-0.029080803072732,-0.0295891218283863,15.3,1451,344.126,62.614,2.166,6.598,14.684,"1.837"
"24","FW08AL030",31.86806513,-85.76601507,"8","Year2008",21.30699921,0.000140699546087996,-0.000632702192922965,-0.000496418257425533,-0.00057730811749746,17.9,1349,142.468,77.228,2.678,3.724,1.869,"1.354"
"25","FW08AL031",33.15834892,-87.02985999,"8","Year2008",1444.47998,-0.0235343432194089,-0.0287509839603923,-0.0254624903475863,-0.0226105266517287,16.9,1466,201.379,54.341,1.216,30.256,5.786,"3.974"
"26","FW08AL032",34.50734375,-88.05036703,"8","Year2008",219.5440063,-0.00464731739254269,-0.00573430667277006,-0.00525431910165857,-0.00658162468446719,15.4,1443,243.029,59.493,0.401,4.545,14.441,"1.252"
"27","FW08AL033",33.79214422,-86.13073021,"8","Year2008",0.834299982,-1.73000811582843e-05,-2.60239350115499e-05,-2.19523362574705e-05,-2.24567873534261e-05,16.1,1389,231.588,85.869,0,0,3.02,"2.051"
"28","FW08AL034",31.30014686,-88.40095587,"8","Year2008",292.4840088,0.0216786264928771,-0.00914657040362927,-0.00211101393220452,-0.00519514494003219,18.3,1591,72.878,62.357,7.317,4.217,7.338,"1.053"
"29","FW08AL035",33.24312036,-87.50377582,"8","Year2008",12429.59961,-0.211715595328769,-0.295954302525681,-0.261246567939575,-0.356375540769854,17,1427,190.431,58.814,1.405,9.029,16.417,"1.957"
"30","FW08AL036",33.8511662,-87.80278113,"8","Year2008",5.940000057,-0.000160197050239047,-0.000140188533519787,-0.000154292684099253,-0.000165993077985831,15.5,1504,162.508,61.954,2.167,6.395,9.075,"1.94"
"31","FW08AL046",32.98546202,-85.32497105,"8","Year2008",6.46310997,-0.000149575148312241,-0.000185359891269103,-0.000169546558609323,-0.000166745902888764,16.8,1380,238.737,71.486,0.458,5.014,8.653,"0.998"
"32","FW08AL047",32.97036777,-87.1982608,"8","Year2008",3.299410105,-7.39144847960456e-05,-9.78667252808833e-05,-9.74133743338764e-05,-9.42814796948171e-05,17.2,1427,111.987,64.685,0.273,12.572,4.2,"3.216"
"33","FW08AL051",32.18553827,-86.90636776,"8","Year2008",1.839599967,-3.39454218639848e-05,-5.7486252730834e-05,-5.71219125729049e-05,-5.31831660695467e-05,18.1,1325,106.571,80.724,3.327,4.403,0,"0.679"
"34","FW08AR010",35.62598092,-89.87932863,"8","Year2008",2373440,-28.4046682782537,NA,-3.52961316056028,-12.6382616082019,15.6,1274,696.353,20.557,2.594,5.54,37.788,"1.313"
"35","FW08AR012",34.35270394,-91.10541947,"8","Year2008",70555.70313,-0.992781327229383,-1.78910234571262,-1.48084831643502,-1.21354315099997,16.3,1302,253.05,56.205,3.174,4.927,31.951,"1.314"
"36","FW08AR012",34.35270394,-91.10541947,"8","Year2008",70555.70313,-0.992781327229383,-1.78910234571262,-1.48084831643502,-1.21354315099997,16.3,1302,253.05,56.205,3.174,4.927,31.951,"1.314"
"37","FW08AR012",34.35270394,-91.10541947,"8","Year2008",70555.70313,-0.992781327229383,-1.78910234571262,-1.48084831643502,-1.21354315099997,16.3,1302,NA,NA,NA,NA,NA,NA
"38","FW08AR012",34.35270394,-91.10541947,"8","Year2008",70555.70313,-0.992781327229383,-1.78910234571262,-1.48084831643502,-1.21354315099997,16.3,1302,NA,NA,NA,NA,NA,NA
"39","FW08AR013",33.6451774,-92.20747631,"8","Year2008",2.064599991,5.37693765573209e-05,-6.43858195410973e-05,-1.87085319754364e-05,-3.45744708525263e-05,16.6,1352,71.695,93.243,1.962,4.447,0,"1.785"
"40","FW08AR014",34.69500093,-90.64588479,"8","Year2008",18926.90039,-0.0946130720891719,-0.111604168954147,-0.164001765314782,0.48230826946368,16,1322,105.925,17.232,5.664,6.316,68.874,"1.382"
"41","FW08AR016",35.67817479,-93.74408949,"8","Year2008",538.0620117,-0.0146107206191872,-0.0164596598675738,-0.0158113198446266,-0.0162759041883939,14,1205,490.742,91.839,0.184,3.114,3.729,"0.789"
"42","FW08AR017",33.55630443,-92.02261247,"8","Year2008",6337.970215,-0.062191917492725,-0.190757647383109,-0.16010585393128,-0.150852406828839,16.6,1366,102.856,60.996,17.466,5.891,5.124,"1.543"
"43","FW08AR019",34.92887774,-93.36068491,"8","Year2008",1475.680054,-0.0159373784214419,-0.046157738287803,-0.0354635670538522,-0.036435604006012,15.3,1278,273.229,85.061,0.65,3.208,8.516,"0.921"
"44","FW08AR020",34.06488091,-93.44225956,"8","Year2008",31.1515007,-0.000496004147690178,-0.00095240065290297,-0.000867846441243658,-0.000933425156457932,16.2,1401,163.119,83.024,0.228,4.846,0.046,"1.865"
"45","FW08AR022",34.8014198,-90.77003066,"8","Year2008",2398.780029,0.00340490413902732,-0.065868038927324,-0.0452808908183029,-0.0102020085321539,15.9,1318,72.188,7.276,10.488,5.504,74.946,"1.24"
"46","FW08AR024",33.61703373,-93.86000774,"8","Year2008",10977,-0.059614645430958,-0.333248499969177,-0.250304751544821,-0.25591816476064,17.4,1230,219.609,66.942,3.133,4.879,13.164,"1.278"
"47","FW08AR025",36.23849513,-91.90776752,"8","Year2008",116.8239975,-0.00227106333332167,-0.00320314268630105,-0.00242993770773492,-0.00353735241475939,13.9,1159,253.409,54.386,0.01,3.64,38.717,"0.926"
"48","FW08AR026",35.53264371,-90.44201227,"8","Year2008",10776.40039,-0.105744423086319,-0.226347190128554,-0.133549210709669,0.0575306302903017,15.8,1245,134.225,26.424,4.218,6.006,61.375,"1.407"
"49","FW08AR027",35.3466556,-91.32230048,"8","Year2008",8.50537014,0.000108655119182172,-0.000259871356964416,0.000114680537613335,0.00024846076772999,15.9,1250,66.246,7.461,12.149,8.403,71.986,"2.092"
"50","FW08AR028",34.43419253,-91.16681756,"8","Year2008",70477.10156,-1.14390619600463,-1.83687939039088,-1.44915346881117,-1.11722410608595,16.4,1285,253.275,56.253,3.116,4.927,31.96,"1.314"
"51","FW08AR030",34.35517222,-92.86759448,"8","Year2008",4121.939941,-0.0452801952393585,-0.120684341238568,-0.109683617292861,-0.117396056255581,16.2,1400,259.258,75.943,0.401,5.894,9.385,"1.635"
"52","FW08AR031",35.31565061,-92.39585489,"8","Year2008",428.5809937,-0.0061363132447044,-0.0118853269385425,-0.0104611288114188,-0.0122701846430986,15.6,1271,227.647,54.655,0.1,4.29,37.609,"1.355"
"53","FW08AR032",35.42766302,-94.14453915,"8","Year2008",383158,-1.30055048704308,-7.03216147544738,-3.95824990783464,-3.90726675178681,15.7,1093,918.392,12.241,0.749,4.512,29.522,"1.16"
"54","FW08AR035",35.76862941,-93.1659807,"8","Year2008",8.262519836,-0.000218754218196986,-0.00025727811183585,-0.000252302076754445,-0.000256079627776027,13.9,1232,492.813,98.142,0,1.858,0,"0.535"
"55","FW08AR036",33.56425478,-94.38411286,"8","Year2008",123403,-0.479791882694125,-3.86118229406225,-2.71114701002596,-2.75594080164526,17.1,1241,526.618,11.888,0.651,4.467,25.883,"1.059"
"56","FW08AR037",36.10448686,-91.08780527,"8","Year2008",18960.40039,-0.20243249888283,-0.475109978250597,-0.316553547616749,-0.0452360052427936,15.1,1209,233.89,67.199,2.072,4.12,24.048,"1.158"
"57","FW08AR041",36.35957618,-92.59069445,"8","Year2008",15636.40039,-0.290462390354387,-0.320335903085224,-0.309424653448907,-0.480474131202191,14.2,1104,388.643,57.445,0.285,6.527,30.269,"1.666"
"58","FW08AR042",34.77402298,-90.74420867,"8","Year2008",16858.90039,0.0260109301138354,-0.460467143111715,-0.312222150170986,-0.0311855687471598,15.9,1318,111.312,19.099,5.148,6.152,67.739,"1.396"
"59","FW08AR043",35.05882281,-91.4438667,"8","Year2008",57993.30078,-0.891176660475291,-1.33133819028455,-1.10391758208126,-1.06727406190652,16.1,1278,281.256,61.878,1.58,4.968,27.621,"1.34"
"60","FW08AR044",35.09489821,-93.4227353,"8","Year2008",1.896299958,5.37163320607882e-05,-5.16591742104624e-05,-9.77615261624724e-06,1.15711353259623e-05,15.5,1219,128.957,36.165,0,2.421,49.027,"0.899"
"61","FW08AR052",33.04553747,-93.82874478,"8","Year2008",147139,-0.326901512363006,-4.51399550851903,-2.48573589787307,-2.53547306451002,17.5,1230,468.129,17.235,1.582,4.696,26.145,"1.096"
"62","FW08AR053",36.28442851,-90.72571493,"8","Year2008",4595.379883,-0.0714674996802113,-0.125647262266005,-0.0981351772835891,-0.0714527545868721,15,1212,223.446,68.32,3.422,4.245,21.12,"1.195"
"63","FW08AR057",36.063267,-92.11116972,"8","Year2008",25870.30078,-0.475778016059609,-0.57127566338677,-0.576574430414545,-0.774216119656629,14.3,1165,363.243,61.597,0.246,5.658,27.863,"1.503"
"64","FW08AR060",35.40391583,-94.33819472,"8","Year2008",382330,-2.47750366023577,-11.9581436970485,-10.2267565084956,-7.61781516428355,15.9,1152,920.032,12.189,0.746,4.495,29.522,"1.157"
"65","FW08AR067",34.01733467,-90.98794483,"8","Year2008",2410510,-20.9232083497906,NA,81.827689245773,28.1364421223608,16.7,1328,687.194,20.534,2.689,5.579,38.095,"1.317"
"66","FW08AR069",36.11488649,-91.96699076,"8","Year2008",13.70170021,0.000488752428524322,-0.000213896559737348,0.00013176612944859,0.000966770741693768,14.3,1175,206.676,67.551,0,4.104,25.52,"1.183"
"67","FW08AR070",35.51270346,-91.61686914,"8","Year2008",2.589940071,-2.90902686419304e-05,-7.19499882537063e-05,-4.74000724381481e-05,-3.44118644499613e-05,15.2,1259,178.075,16.355,0,8.577,73.438,"1.654"
"68","FW08AR072",33.26914799,-92.67900876,"8","Year2008",1.372499943,0.00011765251348514,2.65256351334693e-05,0.000157245223432615,-1.20690861554821e-05,17,1283,59.248,44.984,18.426,8.065,7.41,"0.869"
"69","FW08AR073",36.42861166,-93.14634877,"8","Year2008",9.548959732,-0.000232187541275481,0.000343085431925499,0.000189340557389147,-0.00029501248815336,14,1120,365.698,65.423,0,3.241,28.18,"1.259"
"70","FW08AR078",34.73421624,-90.45759671,"8","Year2008",2386140,-30.0109910031304,NA,61.9331482368406,-16.5381274514635,16,1323,693.243,20.591,2.642,5.574,37.777,"1.317"
"71","FW08AR080",35.68548535,-93.52616962,"8","Year2008",74.81169891,-0.00210533392599909,-0.0022584903799507,-0.00222806080776699,-0.00218359573534139,13.9,1215,516.203,92.578,0.105,3.644,2.553,"0.779"
"72","FW08AR084",33.87304613,-93.50813619,"8","Year2008",5.298480034,-6.0166639309036e-05,-7.84376264721229e-05,-5.76781385531872e-05,-0.000125735696793678,16.4,1367,125.712,73.808,0,5.296,18.622,"1.254"
"73","FW08AR087",33.71397906,-91.15474059,"8","Year2008",2897690,-32.7178632901873,NA,172.427093178008,-17.7567304504578,16.9,1320,702.939,20.433,2.508,5.425,36.901,"1.296"
"74","FW08AR088",33.2092422,-92.53051456,"8","Year2008",1.33739996,1.7827961433402e-05,-4.06929823338293e-05,-3.16365661554553e-05,-3.28609371138682e-05,16.9,1308,68.972,81.225,10.363,1.615,0,"0.549"
"75","FW08AR093",33.22879258,-91.28794196,"8","Year2008",19.99924462,0.000138235072314146,-0.000618464876437626,-7.09829775355652e-05,0.000627343512396326,17.4,1358,NA,NA,NA,NA,NA,NA
"76","FW08AR094",33.89925291,-92.63604743,"8","Year2008",1.854900002,-1.01881923854124e-05,-5.6664990814051e-05,-4.2627663321295e-05,-3.7089128591683e-05,16.4,1337,80.752,76.128,0,5.919,3.057,"1.329"
"77","FW08AR099",35.71495398,-92.88273831,"8","Year2008",25.52689934,-0.000726249121594946,-0.000763850736636138,-0.000753668480684551,-0.000786588139614374,13.9,1232,525.011,75.203,0,3.296,20.308,"0.83"
"78","FW08AR111",35.27595613,-92.19925139,"8","Year2008",2.194200039,-5.71446133165653e-05,-6.25138334745127e-05,-5.8387021835954e-05,-6.18079917057536e-05,15.5,1286,164.761,26.21,0,6.604,65.135,"2.459"
"79","FW08AR112",34.70130029,-93.79739102,"8","Year2008",4.391759872,-0.000105703610606272,-0.000137212758260238,-0.000132538126708219,-0.000134630090448174,15.1,1315,413.465,99.241,0,0.267,0,"0.494"
"80","FW08AR114",34.675951,-92.66396251,"8","Year2008",12.93959999,-0.000276301713744553,-0.000369831142619404,-0.000352016119928581,-0.000391593395268359,16.2,1330,157.832,87.319,0,1.925,0.973,"1.101"
"81","FW08AR116",33.24400584,-94.00329572,"8","Year2008",14.04360008,0.000310275946488244,-0.000401077641209901,-0.000112220213094902,-9.14038533875399e-05,17.5,1196,68.625,46.328,34.069,3.448,4.979,"0.878"
"82","FW08AR122",35.27584041,-90.23426092,"8","Year2008",1.920600057,-5.84346551741216e-05,-5.89295323009223e-05,0.000599683851639859,-1.21737439125541e-05,16,1270,68.375,0.328,0.281,17.198,81.443,"4.534"
"83","FW08AR124",35.06977126,-94.18830486,"8","Year2008",5.763599873,-4.94419114284812e-05,-0.000174977547282091,-0.000133368193474018,-0.000126563533199217,15.8,854,209.823,40.569,0,9.448,40.553,"2.078"
"84","FW08AR133",35.88504238,-91.38636981,"8","Year2008",16.87150002,-0.000468546652516538,-0.000310631458218846,-0.000336207461751886,-0.000445666888219853,15,1211,151.423,61.744,0,2.792,30.074,"0.889"
"85","FW08AR141",33.59243625,-91.30695018,"8","Year2008",84.57450104,-5.74141260362554e-05,-0.00194347734513162,-0.00131139579479769,-0.00119850310009889,17.1,1331,43.596,1.304,3.227,7.44,86.976,"1.166"
"86","FW08AR142",34.37706817,-93.20282683,"8","Year2008",0.574199975,-1.52376591177407e-05,-1.7810236739009e-05,-1.72945207789121e-05,-1.7287585869774e-05,15.7,1431,297.596,92.633,0,0.784,0,"0.406"
"87","FW08AR145",36.38502921,-90.61339699,"8","Year2008",2.03579998,-9.5485038367205e-06,2.85084674198693e-05,4.07703151863573e-05,1.28135087355431e-05,14.7,1207,84.428,0,0.309,1.282,98.408,"0.642"
"88","FW08AR146",34.06658058,-93.42375357,"8","Year2008",20.34280014,-0.000323904563771861,-0.000628294625151436,-0.000574391905407795,-0.00060810290878422,16.2,1401,136.612,73.864,0.097,4.386,0,"1.523"
"89","FW08AR147",34.92202722,-92.953152,"8","Year2008",1.988999963,-5.41327379276372e-05,-6.16552028070634e-05,-5.95524059204958e-05,-5.7601320511203e-05,15.8,1318,176.7,99.457,0,0.543,0,"0.244"
"90","FW08AR148",34.31157292,-93.75669461,"8","Year2008",0.709200025,-1.50561458693803e-05,-2.005714209804e-05,-1.49622862634212e-05,-1.89023810901078e-05,15.5,1453,279.612,79.949,0,8.756,0,"0.689"
"91","FW08AR151",34.09935652,-91.64350158,"8","Year2008",12.09010029,0.000381274212266847,-0.00030882778874647,0.00179723556294826,-0.000119274217149771,17,1288,54.475,1.073,7.606,5.975,84.721,"1.086"
"92","FW08AR153",36.39792656,-92.37061806,"8","Year2008",21.91110039,-0.00043271384986856,-0.000583879702642582,-0.000526133458889316,-0.000649938088494983,14,1113,254.102,59.248,0.238,12.952,23.487,"3.497"
"93","FW08AR161",36.07939676,-90.66681779,"8","Year2008",3.447900057,-3.17049860115943e-05,-2.3025970230561e-05,-1.49722259585464e-05,-4.01218827543195e-05,15.3,1214,110.844,42.835,1.592,9.945,44.27,"1.982"
"94","FW08AR177",36.42781717,-94.11203306,"8","Year2008",1.798200011,-4.79411416247553e-05,0.00025805420608442,0.000152319964338391,-4.52619281716045e-05,13.5,1137,395.586,17.117,0,12.963,69.469,"4.186"
"95","FW08AR179",35.44697536,-92.11461438,"8","Year2008",6.372990131,-0.000102259395904852,-0.000189855751661878,-0.000150628478986843,-0.000149884092015058,15,1310,239.348,72.015,0,5.165,20.562,"1.475"
"96","FW08AR188",34.99955646,-94.10611378,"8","Year2008",30.9864006,-0.000413058450261016,-0.000962244455806399,-0.000749580968127872,-0.000711153626464745,15.7,1055,262.08,83.15,0.015,4.114,6.978,"0.798"
"97","FW08AR192",34.25657775,-94.21744301,"8","Year2008",47.36130142,2.04601256543786e-05,-0.00126634486518674,-0.000369065770121368,0.000603474488883372,15.6,1390,262.403,57.924,0.009,6.127,31.334,"1.578"
"98","FW08AR205",33.32053452,-91.16848524,"8","Year2008",2898270,-32.6277587404392,NA,133.440802844468,-9.22659088500899,17.4,1358,702.803,20.429,2.521,5.425,36.895,"1.296"
"99","FW08AR218",35.80050273,-90.19491663,"8","Year2008",116.9979314,0.000238275150196999,-0.00363248109843423,-0.00168655373768026,0.00243257729412979,15.5,1249,NA,NA,NA,NA,NA,NA
"100","FW08AR236",35.38950946,-94.09154904,"8","Year2008",2.74364996,4.25000120164141e-05,-8.29063253055742e-05,1.89319581499806e-05,-1.20446806380873e-05,15.7,1093,178.594,53.151,0,3.612,33.421,"0.776"
"101","FW08AR255",35.26102285,-93.09442003,"8","Year2008",2.879100084,-1.68797883316466e-05,-8.3408216080354e-05,-3.29968277729018e-05,-7.32668265622865e-05,15.6,1213,141.646,31.354,0,32.166,33.854,"3.712"
"102","FW08AR274",34.96117098,-90.27260038,"8","Year2008",2385700,-29.7903437402725,NA,12.0153696561714,-14.6193111877589,16.1,1300,693.36,20.593,2.639,5.571,37.781,"1.316"
"103","FW08AR276",35.35631354,-93.4637046,"8","Year2008",2.01060009,5.93116796712211e-05,-6.10605601964971e-05,9.18136441040654e-05,4.1635624951271e-05,15.4,1178,137.905,29.364,0,6.625,58.55,"2.137"
"104","FW08AR303",33.20234984,-93.80653574,"8","Year2008",10.03280246,0.000470568099634075,8.44565451304041e-05,0.000457549080267573,0.00016863941101227,17.4,1230,NA,NA,NA,NA,NA,NA
"105","FW08AR307",35.41004023,-94.30155165,"8","Year2008",0.158399999,6.94065012114262e-07,-4.81624814740509e-06,-3.22562003153183e-06,-3.26925346771476e-06,15.8,1121,136.349,6.945,0,8.334,81.858,"2.643"
"106","FW08AR311",33.16635567,-92.52079593,"8","Year2008",2.614500046,0.000337065049586886,-7.38757186391042e-05,-3.23489979825836e-05,-6.48276998291657e-05,17.1,1315,76.309,89.983,0,4.888,0,"0.093"
"107","FW08AR320",35.83554686,-91.54700493,"8","Year2008",6.997590065,-0.000161080866680302,-0.000171544759807596,-0.000171357470969017,-0.000189126225803739,14.7,1209,179.821,78.178,0,2.496,16.289,"0.928"
"108","FW08AZ009",36.08766461,-111.8706113,"10","Year2008",353637,46.0900554193108,173.357087804862,53.332345521359,-30.1574274666293,11.4,284,2101.26,27.731,0.915,0.856,2.167,"0.607"
"109","FW08AZ013",36.43346223,-111.8640926,"10","Year2008",285085,38.4258433857105,149.15909421955,48.3681944715237,-28.7546060816551,11.2,251,2147.82,29.405,1.073,0.882,2.673,"0.578"
"110","FW08AZ019",32.40882122,-111.1606295,"10","Year2008",8837.320313,5.17809497130005,170.413418055311,154.451499433074,237.396591513124,20,347,NA,NA,NA,NA,NA,NA
"111","FW08AZ019",32.40882122,-111.1606295,"10","Year2008",8837.320313,5.17809497130005,170.413418055311,154.451499433074,237.396591513124,20,347,NA,NA,NA,NA,NA,NA
"112","FW08AZ019",32.40882122,-111.1606295,"10","Year2008",8837.320313,5.17809497130005,170.413418055311,154.451499433074,237.396591513124,20,347,1208.21,7.253,0.182,8.885,1.027,"1.621"
"113","FW08AZ019",32.40882122,-111.1606295,"10","Year2008",8837.320313,5.17809497130005,170.413418055311,154.451499433074,237.396591513124,20,347,1208.21,7.253,0.182,8.885,1.027,"1.621"
"114","FW08AZ022",33.29395085,-109.494703,"12","Year2008",969.625,-2.05236192964471,-3.88001381139846,-3.70928351516935,-1.6022341850157,11.6,491,1909.71,68.521,0.316,0.459,0.001,"0.379"
"115","FW08AZ024",34.57310158,-110.0745709,"10","Year2008",1960,0.76634946531485,-0.36024974865228,0.752829602952841,3.36194139875691,11.5,308,1960.65,48.827,0.206,3.152,0.96,"2.088"
"116","FW08AZ028",34.53135184,-111.8406707,"13","Year2008",11082.2002,0,0,0,0,15.9,420,1687.87,40.468,0.27,2.317,0.156,"1.138"
"117","FW08AZ034",36.08919351,-113.2540742,"10","Year2008",370490,47.0484166639236,191.078816465772,57.3290142323,-37.1473787611317,14.9,268,2086.8,27.656,0.876,0.839,2.074,"0.609"
"118","FW08AZ044",34.23975405,-112.0670972,"13","Year2008",1798.800049,9.05214607478257,-16.2314343409894,-11.4406585663362,-5.90203086671523,16.5,438,1474.48,23.839,0.206,2.999,0.077,"1.029"
"119","FW08AZ045",36.30100878,-112.494615,"10","Year2008",355188,45.8965398145315,185.979815031772,56.0771714908981,-37.2092300492196,12.3,293,2099.68,27.765,0.911,0.854,2.158,"0.605"
"120","FW08AZ048",34.88683609,-112.3247841,"13","Year2008",5465.200195,-17.5448018830683,62.3089022003584,31.6094704244064,-31.8245936509073,14.2,369,1649.65,25.751,0.127,2.118,0.242,"0.972"
"121","FW08AZ050",36.860876,-113.9534472,"10","Year2008",12360.90039,-0.798622922076609,-2.26734973457996,-0.320402432265483,1.1063607414636,17.3,187,1567.08,28.259,0.256,1.346,0.596,"0.48"
"122","FW08AZ057",36.11514861,-111.8289587,"10","Year2008",353584,47.6586400817056,177.597656207623,55.5462005614285,-25.326162544129,11.2,259,2101.37,27.734,0.915,0.856,2.168,"0.607"
"123","FW08AZ062",33.47634212,-114.6053022,"10","Year2008",448023,36.1827846403276,310.761385142235,99.7665905401074,-27.1373753666365,22.4,89,1921.19,25.127,0.798,1.044,1.869,"0.596"
"124","FW08AZ062",33.47634212,-114.6053022,"10","Year2008",448023,36.1827846403276,310.761385142235,99.7665905401074,-27.1373753666365,22.4,89,1921.19,25.127,0.798,1.044,1.869,"0.596"
"125","FW08AZ062",33.47634212,-114.6053022,"10","Year2008",448023,36.1827846403276,310.761385142235,99.7665905401074,-27.1373753666365,22.4,89,NA,NA,NA,NA,NA,NA
"126","FW08AZ062",33.47634212,-114.6053022,"10","Year2008",448023,36.1827846403276,310.761385142235,99.7665905401074,-27.1373753666365,22.4,89,NA,NA,NA,NA,NA,NA
"127","FW08AZ073",36.05593012,-111.9976603,"10","Year2008",353803,46.1116904552364,174.288254806514,55.5806043181679,-40.0957825131444,11.4,284,2100.95,27.723,0.914,0.856,2.167,"0.607"
"128","FW08AZ074",33.25130356,-114.6723289,"10","Year2008",448372,34.2131235953504,310.682944994778,111.642487345112,-29.7850249368853,22.5,79,NA,NA,NA,NA,NA,NA
"129","FW08AZ074",33.25130356,-114.6723289,"10","Year2008",448372,34.2131235953504,310.682944994778,111.642487345112,-29.7850249368853,22.5,79,NA,NA,NA,NA,NA,NA
"130","FW08AZ074",33.25130356,-114.6723289,"10","Year2008",448372,34.2131235953504,310.682944994778,111.642487345112,-29.7850249368853,22.5,79,1919.88,25.107,0.801,1.044,1.877,"0.595"
"131","FW08AZ074",33.25130356,-114.6723289,"10","Year2008",448372,34.2131235953504,310.682944994778,111.642487345112,-29.7850249368853,22.5,79,1919.88,25.107,0.801,1.044,1.877,"0.595"
