"","siteid","lat","long","ecoreg","era","area","doc","no3","tn","tp","temp","precip","elev","forest","wetland","ag","urban"
"32","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"33","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"34","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"35","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"36","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"37","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,14.02,0.005,0.695,36,18.1,1261,4.9,59.9,32.8,0.3,1
"38","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"39","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"40","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"41","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"42","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"43","NLA06608-0002",33.03606404,-79.98379054,"8","Year2007",2.290436081,13.69,0.005,0.469,22,18.1,1261,4.9,59.9,32.8,0.3,1
"44","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,5.87,0.005,0.843,50,21.9,728,17.6,10.3,0.4,44.1,11.3
"45","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,5.87,0.005,0.843,50,21.9,728,17.6,10.3,0.4,44.1,11.3
"46","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,5.87,0.005,0.843,50,21.9,728,17.6,10.3,0.4,44.1,11.3
"47","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,5.87,0.005,0.843,50,21.9,728,17.6,10.3,0.4,44.1,11.3
"48","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,6,0.005,0.738,43,21.9,728,17.6,10.3,0.4,44.1,11.3
"49","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,6,0.005,0.738,43,21.9,728,17.6,10.3,0.4,44.1,11.3
"50","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,6,0.005,0.738,43,21.9,728,17.6,10.3,0.4,44.1,11.3
"51","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,6,0.005,0.738,43,21.9,728,17.6,10.3,0.4,44.1,11.3
"52","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,5.87,0.005,0.843,50,21.9,728,17.6,10.3,0.4,44.1,11.3
"53","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,5.87,0.005,0.843,50,21.9,728,17.6,10.3,0.4,44.1,11.3
"54","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,5.87,0.005,0.843,50,21.9,728,17.6,10.3,0.4,44.1,11.3
"55","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,5.87,0.005,0.843,50,21.9,728,17.6,10.3,0.4,44.1,11.3
"56","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,6,0.005,0.738,43,21.9,728,17.6,10.3,0.4,44.1,11.3
"57","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,6,0.005,0.738,43,21.9,728,17.6,10.3,0.4,44.1,11.3
"58","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,6,0.005,0.738,43,21.9,728,17.6,10.3,0.4,44.1,11.3
"59","NLA06608-0003",28.04774206,-97.85986605,"9","Year2007",4.837379808,6,0.005,0.738,43,21.9,728,17.6,10.3,0.4,44.1,11.3
"60","NLA06608-0004",37.4167824,-108.4056506,"6","Year2012",4.641794048,9.66,0.002,1.079,114,7.6,463,2213,36.991082,1.725475,1.31834,0.445909
"61","NLA06608-0004",37.4167824,-108.4056506,"6","Year2012",4.641794048,9.66,0.002,1.079,114,7.6,463,2213,36.991082,1.725475,1.31834,0.445909
"62","NLA06608-0004",37.4167824,-108.4056506,"6","Year2012",4.641794048,9.66,0.002,1.079,114,7.6,463,2213,36.991082,1.725475,1.31834,0.445909
"63","NLA06608-0004",37.4167824,-108.4056506,"6","Year2012",4.641794048,9.66,0.002,1.079,114,7.6,463,2213,36.991082,1.725475,1.31834,0.445909
"64","NLA06608-0004",37.4167824,-108.4056506,"6","Year2012",4.641794048,9.66,0.002,1.079,114,7.6,463,2213,36.991082,1.725475,1.31834,0.445909
"65","NLA06608-0004",37.4167824,-108.4056506,"6","Year2012",4.641794048,9.66,0.002,1.079,114,7.6,463,2213,36.991082,1.725475,1.31834,0.445909
"66","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"67","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"68","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"69","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"70","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"71","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"72","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"73","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"74","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"75","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"76","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"77","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,8,0.005,0.344,18,7.6,463,2213,37,1.8,1.7,0.4
"78","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"79","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"80","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"81","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"82","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"83","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"84","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"85","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"86","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"87","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"88","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"89","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0,0.584,44,7.6,463,2213,37,1.8,1.7,0.4
"90","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"91","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"92","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"93","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"94","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"95","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"96","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"97","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"98","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"99","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"100","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"101","NLA06608-0004",37.41662013,-108.4045832,"6","Year2007",4.702661694,7.86,0.005,0.596,46,7.6,463,2213,37,1.8,1.7,0.4
"102","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"103","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"104","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"105","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"106","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"107","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"108","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"109","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"110","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"111","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"112","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"113","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"114","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"115","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"116","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"117","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"118","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"119","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.45,0.005,0.085,4,-0.6,558,2138,46.6,2.2,0,0
"120","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"121","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"122","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"123","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"124","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"125","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.31,0,0.048,2,-0.6,558,2138,46.6,2.2,0,0
"126","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"127","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"128","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"129","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"130","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"131","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"132","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"133","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"134","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"135","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"136","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"137","NLA06608-0005",43.92920926,-114.8403862,"6","Year2007",87.07638265,1.39,0.005,0.068,3,-0.6,558,2138,46.6,2.2,0,0
"138","NLA06608-0006",41.67757315,-73.14469782,"8","Year2012",23.09818365,2.53,0,0.205,19,8.4,1247,198.75,68.847667,1.441876,17.470091,6.32867
"139","NLA06608-0006",41.67757315,-73.14469782,"8","Year2012",23.09818365,2.53,0,0.205,19,8.4,1247,198.75,68.847667,1.441876,17.470091,6.32867
"140","NLA06608-0006",41.67757315,-73.14469782,"8","Year2012",23.09818365,2.53,0,0.205,19,8.4,1247,198.75,68.847667,1.441876,17.470091,6.32867
"141","NLA06608-0006",41.67757315,-73.14469782,"8","Year2012",23.09818365,2.53,0,0.205,19,8.4,1247,198.75,68.847667,1.441876,17.470091,6.32867
"142","NLA06608-0006",41.67757315,-73.14469782,"8","Year2012",23.09818365,2.53,0,0.205,19,8.4,1247,198.75,68.847667,1.441876,17.470091,6.32867
"143","NLA06608-0006",41.67757315,-73.14469782,"8","Year2012",23.09818365,2.53,0,0.205,19,8.4,1247,198.75,68.847667,1.441876,17.470091,6.32867
"144","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"145","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"146","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"147","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"148","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"149","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"150","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"151","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"152","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"153","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"154","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"155","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.95,0.005,0.223,4,8.4,1247,198.75,68.3,1.3,18.6,6
"156","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"157","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"158","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"159","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"160","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"161","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"162","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"163","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"164","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"165","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"166","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"167","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"168","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"169","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"170","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"171","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"172","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"173","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,3.16,0.005,0.184,7,8.4,1247,198.75,68.3,1.3,18.6,6
"174","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"175","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"176","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"177","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"178","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"179","NLA06608-0006",41.68314624,-73.1465177,"8","Year2007",23.08342257,2.97,0,0.229,6,8.4,1247,198.75,68.3,1.3,18.6,6
"180","NLA06608-0007",45.58064546,-92.04001797,"8","Year2007",9.127280415,6.68,0.005,0.493,8,5.5,817,390.86,63.8,12.3,10.3,3.3
