"","siteid","lat","long","ecoreg","era","area","doc","no3","tn","tp","temp","precip","elev","forest","wetland","urban","ag","roads"
"38","FW08AR012",34.35270394,-91.10541947,"8","Year2008",70555.70313,3.18,0.24671,0.554,98.9875,16.3,1302,NA,NA,NA,NA,NA,NA
"39","FW08AR013",33.6451774,-92.20747631,"8","Year2008",2.064599991,9.29,0.00374,1.121,108.6613,16.6,1352,71.695,93.243,1.962,4.447,0,1.785
"40","FW08AR014",34.69500093,-90.64588479,"8","Year2008",18926.90039,4.26,0.91673,1.141,424.1875,16,1322,105.925,17.232,5.664,6.316,68.874,1.382
"41","FW08AR016",35.67817479,-93.74408949,"8","Year2008",538.0620117,0.67,0.02522,0.096,7.7713,14,1205,490.742,91.839,0.184,3.114,3.729,0.789
"42","FW08AR017",33.55630443,-92.02261247,"8","Year2008",6337.970215,3.48,0.04302,0.304,55.9475,16.6,1366,102.856,60.996,17.466,5.891,5.124,1.543
"43","FW08AR019",34.92887774,-93.36068491,"8","Year2008",1475.680054,3.32,0.00037,0.366,49.3025,15.3,1278,273.229,85.061,0.65,3.208,8.516,0.921
"44","FW08AR020",34.06488091,-93.44225956,"8","Year2008",31.1515007,2.49,0.02585,0.173,9.9013,16.2,1401,163.119,83.024,0.228,4.846,0.046,1.865
"45","FW08AR022",34.8014198,-90.77003066,"8","Year2008",2398.780029,5.3,0.13828,0.626,202.0088,15.9,1318,72.188,7.276,10.488,5.504,74.946,1.24
"46","FW08AR024",33.61703373,-93.86000774,"8","Year2008",10977,4.19,0.03359,0.428,59.5888,17.4,1230,219.609,66.942,3.133,4.879,13.164,1.278
"47","FW08AR025",36.23849513,-91.90776752,"8","Year2008",116.8239975,1.92,0.13974,0.529,7.5456,13.9,1159,253.409,54.386,0.01,3.64,38.717,0.926
"48","FW08AR026",35.53264371,-90.44201227,"8","Year2008",10776.40039,3.48,0.37132,0.953,273.675,15.8,1245,134.225,26.424,4.218,6.006,61.375,1.407
"49","FW08AR027",35.3466556,-91.32230048,"8","Year2008",8.50537014,7.14,0.02655,2.258,452.0538,15.9,1250,66.246,7.461,12.149,8.403,71.986,2.092
"50","FW08AR028",34.43419253,-91.16681756,"8","Year2008",70477.10156,2.44,0.18866,0.541,115.3413,16.4,1285,253.275,56.253,3.116,4.927,31.96,1.314
"51","FW08AR030",34.35517222,-92.86759448,"8","Year2008",4121.939941,3.29,0.07259,0.236,20.984,16.2,1400,259.258,75.943,0.401,5.894,9.385,1.635
"52","FW08AR031",35.31565061,-92.39585489,"8","Year2008",428.5809937,2.75,0.12843,0.347,19.8706,15.6,1271,227.647,54.655,0.1,4.29,37.609,1.355
"53","FW08AR032",35.42766302,-94.14453915,"8","Year2008",383158,4.52,0.46702,1.057,157.5925,15.7,1093,918.392,12.241,0.749,4.512,29.522,1.16
"54","FW08AR035",35.76862941,-93.1659807,"8","Year2008",8.262519836,0.78,0.00546,0.038,2.2138,13.9,1232,492.813,98.142,0,1.858,0,0.535
"55","FW08AR036",33.56425478,-94.38411286,"8","Year2008",123403,4.44,0,0.47,66.92,17.1,1241,526.618,11.888,0.651,4.467,25.883,1.059
"56","FW08AR037",36.10448686,-91.08780527,"8","Year2008",18960.40039,3.34,0.22496,0.736,215.96,15.1,1209,233.89,67.199,2.072,4.12,24.048,1.158
"57","FW08AR041",36.35957618,-92.59069445,"8","Year2008",15636.40039,2.06,0.39,0.58,4.1938,14.2,1104,388.643,57.445,0.285,6.527,30.269,1.666
"58","FW08AR042",34.77402298,-90.74420867,"8","Year2008",16858.90039,5.32,0.14355,0.644,219.965,15.9,1318,111.312,19.099,5.148,6.152,67.739,1.396
"59","FW08AR043",35.05882281,-91.4438667,"8","Year2008",57993.30078,2.58,0.30082,0.618,96.28,16.1,1278,281.256,61.878,1.58,4.968,27.621,1.34
"60","FW08AR044",35.09489821,-93.4227353,"8","Year2008",1.896299958,9.66,0.14611,1.318,279.3788,15.5,1219,128.957,36.165,0,2.421,49.027,0.899
"61","FW08AR052",33.04553747,-93.82874478,"8","Year2008",147139,4.71,0.02205,0.726,105.0338,17.5,1230,468.129,17.235,1.582,4.696,26.145,1.096
"62","FW08AR053",36.28442851,-90.72571493,"8","Year2008",4595.379883,2.55,0.1425,0.501,117.6088,15,1212,223.446,68.32,3.422,4.245,21.12,1.195
"63","FW08AR057",36.063267,-92.11116972,"8","Year2008",25870.30078,2.09,0.33239,0.454,10.1794,14.3,1165,363.243,61.597,0.246,5.658,27.863,1.503
"64","FW08AR060",35.40391583,-94.33819472,"8","Year2008",382330,4.02,0.00044,0.229,84.9131,15.9,1152,920.032,12.189,0.746,4.495,29.522,1.157
"65","FW08AR067",34.01733467,-90.98794483,"8","Year2008",2410510,3.663522745,NA,3.29,321,16.7,1328,687.194,20.534,2.689,5.579,38.095,1.317
"66","FW08AR069",36.11488649,-91.96699076,"8","Year2008",13.70170021,10.85,0.56602,2.063,760.984,14.3,1175,206.676,67.551,0,4.104,25.52,1.183
"67","FW08AR070",35.51270346,-91.61686914,"8","Year2008",2.589940071,3.25,0.12667,0.655,134.5106,15.2,1259,178.075,16.355,0,8.577,73.438,1.654
"68","FW08AR072",33.26914799,-92.67900876,"8","Year2008",1.372499943,18.96,1.82734,7.356,168.0831,17,1283,59.248,44.984,18.426,8.065,7.41,0.869
"69","FW08AR073",36.42861166,-93.14634877,"8","Year2008",9.548959732,1.13,2.42673,2.578,2.9475,14,1120,365.698,65.423,0,3.241,28.18,1.259
"70","FW08AR078",34.73421624,-90.45759671,"8","Year2008",2386140,3.03203,NA,2.887,182,16,1323,693.243,20.591,2.642,5.574,37.777,1.317
"71","FW08AR080",35.68548535,-93.52616962,"8","Year2008",74.81169891,0.51,0.03972,0.076,15.7006,13.9,1215,516.203,92.578,0.105,3.644,2.553,0.779
"72","FW08AR084",33.87304613,-93.50813619,"8","Year2008",5.298480034,3.23,0.59516,1.029,56.4769,16.4,1367,125.712,73.808,0,5.296,18.622,1.254
"73","FW08AR087",33.71397906,-91.15474059,"8","Year2008",2897690,3.240441155,NA,4.579,188,16.9,1320,702.939,20.433,2.508,5.425,36.901,1.296
"74","FW08AR088",33.2092422,-92.53051456,"8","Year2008",1.33739996,7.23,0.03113,0.385,50.1988,16.9,1308,68.972,81.225,10.363,1.615,0,0.549
"75","FW08AR093",33.22879258,-91.28794196,"8","Year2008",19.99924462,6.19,0.01317,1.399,468.164,17.4,1358,NA,NA,NA,NA,NA,NA
"76","FW08AR094",33.89925291,-92.63604743,"8","Year2008",1.854900002,4.18,0.02673,0.419,84.3863,16.4,1337,80.752,76.128,0,5.919,3.057,1.329
"77","FW08AR099",35.71495398,-92.88273831,"8","Year2008",25.52689934,0.46,0.04931,0.089,3.55,13.9,1232,525.011,75.203,0,3.296,20.308,0.83
"78","FW08AR111",35.27595613,-92.19925139,"8","Year2008",2.194200039,0.85,0.10104,0.236,23.315,15.5,1286,164.761,26.21,0,6.604,65.135,2.459
"79","FW08AR112",34.70130029,-93.79739102,"8","Year2008",4.391759872,1.17,0.00166,0.056,4.7375,15.1,1315,413.465,99.241,0,0.267,0,0.494
"80","FW08AR114",34.675951,-92.66396251,"8","Year2008",12.93959999,1.61,0.09776,0.206,7.6663,16.2,1330,157.832,87.319,0,1.925,0.973,1.101
"81","FW08AR116",33.24400584,-94.00329572,"8","Year2008",14.04360008,8.65,0.09855,1.175,185.1556,17.5,1196,68.625,46.328,34.069,3.448,4.979,0.878
"82","FW08AR122",35.27584041,-90.23426092,"8","Year2008",1.920600057,0.14,0.02189,17.325,186.4263,16,1270,68.375,0.328,0.281,17.198,81.443,4.534
"83","FW08AR124",35.06977126,-94.18830486,"8","Year2008",5.763599873,3.68,0.03358,0.411,69.7125,15.8,854,209.823,40.569,0,9.448,40.553,2.078
"84","FW08AR133",35.88504238,-91.38636981,"8","Year2008",16.87150002,0.57,0.46491,0.573,36.4163,15,1211,151.423,61.744,0,2.792,30.074,0.889
"85","FW08AR141",33.59243625,-91.30695018,"8","Year2008",84.57450104,4.96,0.3,0.796,127.9038,17.1,1331,43.596,1.304,3.227,7.44,86.976,1.166
"86","FW08AR142",34.37706817,-93.20282683,"8","Year2008",0.574199975,0.77,0.00981,0.059,8.8313,15.7,1431,297.596,92.633,0,0.784,0,0.406
"87","FW08AR145",36.38502921,-90.61339699,"8","Year2008",2.03579998,4.31,1.63517,2.588,280.8144,14.7,1207,84.428,0,0.309,1.282,98.408,0.642
"88","FW08AR146",34.06658058,-93.42375357,"8","Year2008",20.34280014,2.49,0.01458,0.154,10.4338,16.2,1401,136.612,73.864,0.097,4.386,0,1.523
"89","FW08AR147",34.92202722,-92.953152,"8","Year2008",1.988999963,0.66,0.01051,0.068,17.4038,15.8,1318,176.7,99.457,0,0.543,0,0.244
"90","FW08AR148",34.31157292,-93.75669461,"8","Year2008",0.709200025,1.63,0.10859,0.514,34.64,15.5,1453,279.612,79.949,0,8.756,0,0.689
"91","FW08AR151",34.09935652,-91.64350158,"8","Year2008",12.09010029,10.18,0.20742,9.075,160.0738,17,1288,54.475,1.073,7.606,5.975,84.721,1.086
"92","FW08AR153",36.39792656,-92.37061806,"8","Year2008",21.91110039,1.87,0.16757,0.367,12.1544,14,1113,254.102,59.248,0.238,12.952,23.487,3.497
"93","FW08AR161",36.07939676,-90.66681779,"8","Year2008",3.447900057,3.58,0.88851,1.359,146.84,15.3,1214,110.844,42.835,1.592,9.945,44.27,1.982
"94","FW08AR177",36.42781717,-94.11203306,"8","Year2008",1.798200011,0.75,6.31053,5.85,45.7163,13.5,1137,395.586,17.117,0,12.963,69.469,4.186
"95","FW08AR179",35.44697536,-92.11461438,"8","Year2008",6.372990131,2.47,0.0541,0.386,58.06,15,1310,239.348,72.015,0,5.165,20.562,1.475
"96","FW08AR188",34.99955646,-94.10611378,"8","Year2008",30.9864006,2.91,0.0085,0.358,62.305,15.7,1055,262.08,83.15,0.015,4.114,6.978,0.798
"97","FW08AR192",34.25657775,-94.21744301,"8","Year2008",47.36130142,5.14,0.16431,1.185,328.9913,15.6,1390,262.403,57.924,0.009,6.127,31.334,1.578
"98","FW08AR205",33.32053452,-91.16848524,"8","Year2008",2898270,3.245844857,NA,3.9,210,17.4,1358,702.803,20.429,2.521,5.425,36.895,1.296
"99","FW08AR218",35.80050273,-90.19491663,"8","Year2008",116.9979314,5.4,0.00873,0.851,389.1369,15.5,1249,NA,NA,NA,NA,NA,NA
"100","FW08AR236",35.38950946,-94.09154904,"8","Year2008",2.74364996,7.58,0.03869,1.926,200.985,15.7,1093,178.594,53.151,0,3.612,33.421,0.776
"101","FW08AR255",35.26102285,-93.09442003,"8","Year2008",2.879100084,4.12,0.08372,1,43.6456,15.6,1213,141.646,31.354,0,32.166,33.854,3.712
"102","FW08AR274",34.96117098,-90.27260038,"8","Year2008",2385700,3.04664049,NA,1.832,188,16.1,1300,693.36,20.593,2.639,5.571,37.781,1.316
"103","FW08AR276",35.35631354,-93.4637046,"8","Year2008",2.01060009,9.85,0.03321,3.881,388.5125,15.4,1178,137.905,29.364,0,6.625,58.55,2.137
"104","FW08AR303",33.20234984,-93.80653574,"8","Year2008",10.03280246,12.67,1.43352,3.878,359.3781,17.4,1230,NA,NA,NA,NA,NA,NA
"105","FW08AR307",35.41004023,-94.30155165,"8","Year2008",0.158399999,5.78,0.0319,0.551,79.5744,15.8,1121,136.349,6.945,0,8.334,81.858,2.643
"106","FW08AR311",33.16635567,-92.52079593,"8","Year2008",2.614500046,25.96,0.1095,0.954,48.52,17.1,1315,76.309,89.983,0,4.888,0,0.093
"107","FW08AR320",35.83554686,-91.54700493,"8","Year2008",6.997590065,1.34,0.24457,0.343,31.8438,14.7,1209,179.821,78.178,0,2.496,16.289,0.928
"108","FW08AZ009",36.08766461,-111.8706113,"10","Year2008",353637,2.82,0.23572,0.426,13.8125,11.4,284,2101.26,27.731,0.915,0.856,2.167,0.607
"109","FW08AZ013",36.43346223,-111.8640926,"10","Year2008",285085,2.86,0.24726,0.45,11.6275,11.2,251,2147.82,29.405,1.073,0.882,2.673,0.578
"110","FW08AZ019",32.40882122,-111.1606295,"10","Year2008",8837.320313,6.59,7.83164,21.725,3451.325,20,347,NA,NA,NA,NA,NA,NA
"111","FW08AZ019",32.40882122,-111.1606295,"10","Year2008",8837.320313,6.59,7.83164,21.725,3451.325,20,347,NA,NA,NA,NA,NA,NA
"112","FW08AZ019",32.40882122,-111.1606295,"10","Year2008",8837.320313,7.23,5.78473,23.244,4132.356,20,347,1208.21,7.253,0.182,8.885,1.027,1.621
"113","FW08AZ019",32.40882122,-111.1606295,"10","Year2008",8837.320313,7.23,5.78473,23.244,4132.356,20,347,1208.21,7.253,0.182,8.885,1.027,1.621
"114","FW08AZ022",33.29395085,-109.494703,"12","Year2008",969.625,1.39,0.01275,0.133,88.3175,11.6,491,1909.71,68.521,0.316,0.459,0.001,0.379
"115","FW08AZ024",34.57310158,-110.0745709,"10","Year2008",1960,5.16,0,0.723,266.2425,11.5,308,1960.65,48.827,0.206,3.152,0.96,2.088
"116","FW08AZ028",34.53135184,-111.8406707,"13","Year2008",11082.2002,1.04,0.20931,0.454,119.425,15.9,420,1687.87,40.468,0.27,2.317,0.156,1.138
"117","FW08AZ034",36.08919351,-113.2540742,"10","Year2008",370490,2.79,0.24465,0.431,11.7113,14.9,268,2086.8,27.656,0.876,0.839,2.074,0.609
"118","FW08AZ044",34.23975405,-112.0670972,"13","Year2008",1798.800049,1.62,0,0.134,76,16.5,438,1474.48,23.839,0.206,2.999,0.077,1.029
"119","FW08AZ045",36.30100878,-112.494615,"10","Year2008",355188,2.81,0.2474,0.435,11.0813,12.3,293,2099.68,27.765,0.911,0.854,2.158,0.605
"120","FW08AZ048",34.88683609,-112.3247841,"13","Year2008",5465.200195,0.67,0.47377,0.745,42.3563,14.2,369,1649.65,25.751,0.127,2.118,0.242,0.972
"121","FW08AZ050",36.860876,-113.9534472,"10","Year2008",12360.90039,1.07,0.00013,0.201,38.3163,17.3,187,1567.08,28.259,0.256,1.346,0.596,0.48
"122","FW08AZ057",36.11514861,-111.8289587,"10","Year2008",353584,2.86,0.23994,0.434,15.7263,11.2,259,2101.37,27.734,0.915,0.856,2.168,0.607
"123","FW08AZ062",33.47634212,-114.6053022,"10","Year2008",448023,2.36,0.32158,0.523,16.96,22.4,89,1921.19,25.127,0.798,1.044,1.869,0.596
"124","FW08AZ062",33.47634212,-114.6053022,"10","Year2008",448023,2.36,0.32158,0.523,16.96,22.4,89,1921.19,25.127,0.798,1.044,1.869,0.596
"125","FW08AZ062",33.47634212,-114.6053022,"10","Year2008",448023,2.39,0.29214,0.512,17.5925,22.4,89,NA,NA,NA,NA,NA,NA
"126","FW08AZ062",33.47634212,-114.6053022,"10","Year2008",448023,2.39,0.29214,0.512,17.5925,22.4,89,NA,NA,NA,NA,NA,NA
"127","FW08AZ073",36.05593012,-111.9976603,"10","Year2008",353803,2.82,0.23656,0.434,9.88,11.4,284,2100.95,27.723,0.914,0.856,2.167,0.607
"128","FW08AZ074",33.25130356,-114.6723289,"10","Year2008",448372,2.33,0.29228,0.551,17.5175,22.5,79,NA,NA,NA,NA,NA,NA
"129","FW08AZ074",33.25130356,-114.6723289,"10","Year2008",448372,2.33,0.29228,0.551,17.5175,22.5,79,NA,NA,NA,NA,NA,NA
"130","FW08AZ074",33.25130356,-114.6723289,"10","Year2008",448372,2.34,0.32094,0.551,15.3925,22.5,79,1919.88,25.107,0.801,1.044,1.877,0.595
"131","FW08AZ074",33.25130356,-114.6723289,"10","Year2008",448372,2.34,0.32094,0.551,15.3925,22.5,79,1919.88,25.107,0.801,1.044,1.877,0.595
"132","FW08AZ075",33.10544383,-109.299405,"13","Year2008",6920.660156,1.48,0,0.134,72.1681,14.4,405,2079.76,70.662,0.162,0.412,0.017,0.478
"133","FW08AZ077",36.31935689,-111.8628923,"10","Year2008",285257,2.93,0.2471,0.443,14.1313,10.2,312,2147.55,29.395,1.073,0.881,2.672,0.578
"134","FW08AZ087",33.61772,-110.9110334,"13","Year2008",10586.7998,1.46,0,0.206,38.5163,18,449,1913.89,70.474,0.191,0.387,0.014,0.604
"135","FW08AZ090",32.71136818,-114.3204076,"10","Year2008",81121.89844,8.23,0.09775,0.703,14.7738,22.9,101,1110.97,15.893,0.577,3.774,3.268,0.808
"136","FW08AZ093",36.84694709,-111.6169441,"10","Year2008",282473,3.24,0.25772,0.451,14.6175,14.2,120,2151.07,29.516,1.082,0.885,2.698,0.576
"137","FW08AZ098",36.09844446,-113.3168975,"10","Year2008",370548,2.65,0.24979,0.493,15.4613,14.9,268,2086.64,27.652,0.876,0.839,2.074,0.609
"138","FW08AZ100",33.8736257,-111.3058217,"13","Year2008",2068.169922,1.03,0.02503,0.094,34.7838,16.3,508,1505.57,52.613,0.134,0.667,0.025,0.549
"139","FW08AZ107",32.71967085,-109.0974956,"10","Year2008",8745.910156,1.42,0.12458,0.315,23.8463,15.4,324,1998.39,49.879,0.144,0.296,0.32,0.446
"140","FW08AZ109",36.40030653,-112.556161,"10","Year2008",355595,2.87,0.24742,0.448,10.9875,13.9,267,2099.37,27.784,0.91,0.852,2.156,0.606
"141","FW08AZ134",32.89332433,-109.7940786,"12","Year2008",24831.5,2.93,2.00714,2.656,149.7725,17.1,291,1792.44,42.449,0.199,0.669,0.995,0.456
"142","FW08AZ139",33.02098181,-109.2997034,"12","Year2008",7067.540039,1.36,0,0.151,63.7988,14.4,405,2067.78,69.473,0.16,0.503,0.017,0.48
"143","FW08AZ155",33.08808747,-109.4624855,"13","Year2008",1548.219971,1.13,0.00695,0.121,83.7644,13.8,423,1833.47,60.191,0.281,0.454,0.001,0.314
"144","FW08AZ171",33.67588001,-109.0840924,"13","Year2008",312.4330139,1.46,0,0.1,82.5369,7.2,504,2370.34,96.859,0.06,0.386,0,1.497
"145","FW08AZ194",31.56235429,-111.0460433,"12","Year2008",2632.070068,5.66,4.04543,5.169,4014.031,16.8,447,1385.71,8.022,0.201,2.008,0.43,0.678
"146","FW08AZ260",34.37598408,-110.0121231,"13","Year2008",242.0350037,2.61,0.00471,0.409,171.3825,11,365,2069.25,72.499,0.034,2.612,0.046,2.15
"147","FW08CA017",36.96370514,-119.2314146,"11","Year2008",125.8769989,1.98,0.00742,0.233,26.865,15.2,687,1340.03,80.443,0.021,0.039,0,2.06
"148","FW08CA020",41.31852852,-123.5279597,"6","Year2008",29282.09961,3.13,0.01299,0.488,82.6238,11.1,1352,1385.35,50.7,2.037,1.896,7.341,1.48
"149","FW08CA020",41.31852852,-123.5279597,"6","Year2008",29282.09961,3.13,0.01299,0.488,82.6238,11.1,1352,1385.35,50.7,2.037,1.896,7.341,1.48
"150","FW08CA020",41.31852852,-123.5279597,"6","Year2008",29282.09961,2.89,0.00172,0.312,102.77,11.1,1352,NA,NA,NA,NA,NA,NA
"151","FW08CA020",41.31852852,-123.5279597,"6","Year2008",29282.09961,2.89,0.00172,0.312,102.77,11.1,1352,NA,NA,NA,NA,NA,NA
"152","FW08CA022",34.35671323,-119.0198808,"11","Year2008",3564.51001,1.59,1.52132,1.889,22.5269,14.5,508,999.914,18.24,0.241,7.533,1.687,1.23
"153","FW08CA031",38.81627171,-123.0111924,"11","Year2008",1606.400024,2.04,0.01317,0.123,43.5325,13.3,1151,482.988,33.982,0.146,6.377,4.335,1.52
"154","FW08CA031",38.81627171,-123.0111924,"11","Year2008",1606.400024,2.04,0.01317,0.123,43.5325,13.3,1151,482.988,33.982,0.146,6.377,4.335,1.52
"155","FW08CA031",38.81627171,-123.0111924,"11","Year2008",1606.400024,1.79,0.00242,0.159,40.875,13.3,1151,NA,NA,NA,NA,NA,NA
"156","FW08CA031",38.81627171,-123.0111924,"11","Year2008",1606.400024,1.79,0.00242,0.159,40.875,13.3,1151,NA,NA,NA,NA,NA,NA
"157","FW08CA035",38.80836238,-121.6352071,"11","Year2008",15780.90039,1.11,0.02642,0.136,24.3725,16.3,475,1221.1,62.418,0.91,3.051,6.764,1.869
"158","FW08CA036",40.80247233,-122.9300163,"6","Year2008",3.662100077,0.56,0,0.09,29.22,10.6,1025,1633.15,80.732,0,1.696,0,1.453
"159","FW08CA038",34.42493996,-118.5570537,"11","Year2008",826.0640259,5.54,4.56914,5.244,307.3981,16.2,440,836.467,5.488,0.119,16.812,0.207,2.188
"160","FW08CA040",41.53926058,-123.5267321,"6","Year2008",27045.19922,3.49,0.05781,0.594,102.2213,9.5,1326,1398.15,48.055,2.204,1.897,7.949,1.495
"161","FW08CA044",41.48963055,-120.6045859,"6","Year2008",2821.600098,7.96,0,1.056,469.99,8.1,341,1680.6,27.201,1.272,0.974,6.372,1.161
"162","FW08CA046",39.4667372,-120.9644497,"6","Year2008",41.10540009,0.61,0.00834,0,25.9563,11.2,1612,1389.5,81.577,0,2.448,0,2.833
"163","FW08CA054",40.21900408,-121.9974197,"11","Year2008",303.1669922,0.93,0.00542,0.079,75.0525,14.8,909,1063.77,50.72,0.084,0.628,0,1.537
"164","FW08CA056",41.45639606,-123.9355648,"7","Year2008",38656.89844,1.9,0.00143,0.269,41.8088,10.7,1705,1306.88,56.997,1.55,2.068,5.57,1.522
"165","FW08CA059",40.00190523,-121.2682255,"6","Year2008",4471.259766,1.3,0.00389,0.154,11.7113,8.6,1029,1639.59,73.677,0.859,1.148,0.66,1.886
"166","FW08CA061",37.59637606,-121.1287613,"11","Year2008",4915.080078,2.18,1.92284,2.343,173.2,16.4,286,1467.52,37.12,0.556,3.486,6.375,1.065
